id,modelo,fabricante,marca,memoria,stock
81,GTX 1660 Ti,NVIDIA,MSI,6GB,25
80,Radeon RX 5700,AMD,XFX,8GB,30
3,GeForce RTX 3060 Ti,NVIDIA,ASUS,8GB,20
4,Radeon RX 6800 XT,AMD,NVIDIA,16GB,15
5,GeForce RTX 2080 Ti,NVIDIA,MSI,11GB,10
6,Radeon RX 6900 XT,AMD,EVGA,16GB,5
7,GeForce RTX 3070,NVIDIA,MSI,8GB,35
8,Radeon RX 6600 XT,AMD,ZOTAC,8GB,40
9,GeForce GTX 1080 Ti,NVIDIA,NVIDIA,11GB,18
10,Radeon RX 6700 XT,AMD,ASUS,12GB,22
11,GeForce GTX 1660 SUPER,NVIDIA,EVGA,6GB,28
12,Radeon RX 580,AMD,XFX,8GB,45
13,GeForce GTX 1050 Ti,NVIDIA,ZOTAC,4GB,38
14,Radeon RX 5500 XT,AMD,MSI,8GB,48
15,GeForce RTX 2080 Super,NVIDIA,ASUS,8GB,13
16,Radeon RX 570,AMD,EVGA,8GB,26
17,GeForce GTX 1060,NVIDIA,NVIDIA,6GB,32
18,Radeon RX 5600 XT,AMD,XFX,6GB,50
19,GeForce RTX 2060 Super,NVIDIA,MSI,8GB,23
20,Radeon RX 5700 XT,AMD,ASUS,8GB,17
21,GeForce RTX 3090,NVIDIA,EVGA,24GB,3
22,Radeon VII,AMD,ZOTAC,16GB,7
23,GeForce RTX 3060,NVIDIA,NVIDIA,12GB,11
24,Radeon RX Vega 64,AMD,ASUS,8GB,9
25,GeForce GTX 1660,NVIDIA,EVGA,6GB,33
26,Radeon RX Vega 56,AMD,ZOTAC,8GB,21
27,GeForce GTX 1070 Ti,NVIDIA,XFX,8GB,16
28,Radeon RX 6800,AMD,MSI,16GB,12
29,GeForce GTX 1650 SUPER,NVIDIA,ASUS,4GB,37
30,Radeon RX 590,AMD,EVGA,8GB,43
31,GeForce GTX 1650,NVIDIA,EVGA,4GB,42
32,Radeon RX 560,AMD,ZOTAC,4GB,47
33,GeForce GTX 1080,NVIDIA,ASUS,8GB,24
34,Radeon RX 550,AMD,MSI,4GB,44
35,GeForce GT 1030,NVIDIA,XFX,2GB,46
36,Radeon RX 5300,AMD,ZOTAC,3GB,49
37,GeForce GTX 1050,NVIDIA,MSI,2GB,41
38,Radeon RX 560D,AMD,ASUS,4GB,36
39,GeForce RTX 3050,NVIDIA,EVGA,8GB,14
40,Radeon RX 460,AMD,XFX,4GB,39
41,GeForce GTX 1660 Ti Mobile,NVIDIA,ZOTAC,6GB,31
42,Radeon RX 5500M,AMD,MSI,4GB,34
43,GeForce GTX 1650 Mobile,NVIDIA,ASUS,4GB,27
44,Radeon RX 5600M,AMD,EVGA,6GB,29
45,GeForce RTX 2070,NVIDIA,XFX,8GB,19
46,Radeon RX 580 2048SP,AMD,ZOTAC,4GB,6
47,GeForce GTX 1650 Ti Mobile,NVIDIA,MSI,4GB,4
48,Radeon RX 570X,AMD,EVGA,4GB,2
49,GeForce GTX 1050 Mobile,NVIDIA,ZOTAC,2GB,8
50,Radeon RX 550X,AMD,ASUS,4GB,1
51,GeForce GTX 1070,NVIDIA,MSI,8GB,35
52,Radeon RX 5500,AMD,MSI,8GB,30
53,GeForce GTX 1660,NVIDIA,XFX,6GB,20
54,Radeon RX 590 GME,AMD,ASUS,8GB,15
55,GeForce GTX 1060 Mobile,NVIDIA,ZOTAC,6GB,10
56,Radeon RX 5500 XT 8G,AMD,MSI,8GB,5
57,GeForce MX350,NVIDIA,ASUS,2GB,35
58,Radeon RX 5500 XT 4G,AMD,XFX,4GB,30
59,GeForce MX330,NVIDIA,MSI,2GB,20
60,Radeon RX 5300M,AMD,ASUS,3GB,15
61,GeForce GTX 1050 3GB,NVIDIA,ZOTAC,3GB,10
62,Radeon RX 560X,AMD,MSI,4GB,5
63,GeForce MX250,NVIDIA,XFX,2GB,35
64,Radeon RX 560,AMD,ASUS,4GB,30
65,GeForce GTX 1650 4GB,NVIDIA,EVGA,4GB,20
66,Radeon RX 550X,AMD,EVGA,4GB,15
67,GeForce GTX 1650 GDDR6,NVIDIA,ASUS,4GB,10
68,Radeon RX 560X,AMD,ZOTAC,4GB,5
69,GeForce GTX 1050 Ti 4GB,NVIDIA,MSI,4GB,35
70,Radeon RX 550X,AMD,EVGA,4GB,30
71,GeForce MX150,NVIDIA,MSI,2GB,20
72,Radeon RX 540X,AMD,ASUS,4GB,15
73,GeForce GTX 1050 Mobile 3GB,NVIDIA,ZOTAC,3GB,10
74,Radeon RX 560X,AMD,XFX,4GB,5
75,GeForce GTX 1050 Ti 4GB,NVIDIA,EVGA,4GB,35
76,Radeon RX 550X,AMD,MSI,4GB,30
77,GeForce MX130,NVIDIA,ASUS,2GB,20
78,Radeon RX 540X,AMD,XFX,4GB,15
79,GeForce GTX 1050 Mobile 3GB,NVIDIA,MSI,3GB,10
